,Unnamed: 0.1,Unnamed: 0,Titre,Auteur,Type,Langue,Texte
33,33,33,LA QUESTION SEGONDAIRE DES COURS,Franc Bartoli,piece,fra,scene future revue scene passe chef lieu l ile honolulu 38 cours petitval deuxieme etage recemment loue ecole jeunes filles l entree antichambre donnent portes salles classe portes ouvertes vient bruit assourdissant conversations entrecroisees brouhaha general milieu antichambre tient surveillante tire sac petits morceaux coton roule boule doigts s introduit oreilles monsieur monsieur pardon mademoiselle excusez deranger surveillante hein dites haut c bien ici l ecole nouveaux cours secondaires s monsieur ditesmoi desirez retire vivement coton oreilles m part sourde distraite s entendu dites sourde idiote mets simplement coton oreilles devenir m ll vrai qu vacarme mademoiselle pere dune eleve j journaux plafonds inquietent proprietaires viens voir s oui journaux tremblez plafonds prouver solidite tenez met danser shimmy danse m grace poutres s change annonce matelot danse n lem voyons c imprudent nu oc las changeant gigue danse gigue m mademoiselle songez vie s craignez plafonds faire voir chahut danse chahut ecervele levant jambes mettant pieds nez monsieur rien n voix l etage finiscia media m voix s c l ile remue temps temps frissons ca n prend croise bras garde annonce java danse chante qu degote ecoles departement l institution pensions tremblement cours cours courts enseignants trop surmenes remplaces surveillants recreation sortons ie long d rue matin soir trottoir passe r vue beaux garcons peur facons defilent blondes minces rondes gouts gouts m part journaux s s arrete essoufflee d sommes locataire regarde ebloui dns billard d m philippe baudet s us alles ici dirait mandataire l etablissement ien qu dites solides plafond m solides mademoi mn pensez qu ieme demonstration s d autant qu professeur venir hasard m professeurs don s voulez vaus soient college m viennent ici s ici chantant ar demain jamais pa re cas heures m heu eleves 7 sorte s heures demie m sorte gu jamais eleves faire cours s rencontrent rue d ailleurs gu'importe l voyez c pouvoir affair mer ministre l ecole fonctionne moment entend classe voisine poussez poussez trop grosse passera laisse faire amelie resistez madame selle laissez aller m man fatal m cest voix m fille passe t s c chinois l etabli abri serment donne demoiselle petite seance moelle mains cheveux yeux hasards estimes 15 qu 5 lou s oui inspecteur d academie imagine systeme minor c systeme b ia passe eleves laminer faire diminuer volume qu pesaient moyenne cinquari kilos cents elu ves feraient kilos comprenez mois d systeme b d peseront plu cing kilos m respirant com m respirant com pese ye ingenieux main coeur cest egal j ei belle peur s classe asse dure recreation agite sonnette eleve j sortent issues plupart precipitent versa porte qu ouvre local etroit laisse passer m ecran n fini j mis ll pied c veine j chemise mouillee c antoinette m poussee m c ici fontaine demoiselles boire s cest fair contraire comprenez n qu local troi cents eleves m c principe concentration bouche nez s voulez descendre monsieur assisterez aujourd match eleves l ecole d face etablissements dispose d trottoir rue sert frontiere ily trop d incidents decide renfort fer eleves livrent assaut boxe garcons l ecole face ecole mixte servent d ar bieres eleves marchent s iront ia grotte voisine buissons l eritourent buissons l avantage facile l ultime supplie 27 buissonniere m bien roi scene ll rue eleves matches rangent bord trottoir bord oppose rangees eleve lautre ecole dispose dun cour inferieure opere jour l sortie milieu professeur monsieur nuageux leve canne monsieur nuageux st ss nm er eleves jettent contre match commence cre page chignons temps prennent part l saut dirigent buissons aut cours petitval chantant matche j p tete nana d amerique m prenant conge s demoiselle jesuis enchante queje viens voir jt laisserai fille etablissez ment manque d apprendre qu ignore j enverrai parents amis ef connaissances voudront bien ecouter conseils
34,34,34,Una congiura contro i francesi a Malta,O. F. Tencajoli,reprise de publication,ita,narrare rigorocamente storico tuttii cronisti maltesi epoca parlano diffusamente strano esso rimasto sconosciuto finora storici corsica dato principale protagonista sanguinoso dramma figlio verde cirno iniziare racconto occorre dare sguardo avvenimenti precedettero allorche 17 luglio 1797 barone boemo ferdinando hompesch venne eletto maestro sovrano ordine gerosolomitano antica gloriosa istituzione militare sorta difesa cristianita piena decadenza nuove pericolose idee rivoluzione francese malta pochi audaci aderenti pronti qualsiasi cimento abbattere secolare dominio cavalieri tempi procellosi l'europa buon hompesch relativamente giovane completamente inadatto all'alto ufficio assunto l'isola magnificamente fortificata gola francia specialmente l'infelice tentativo sardegna direttorio deciso senz'altro conquista sin settembre 1797 pretesto esso facilmente opportuno piazza valletta rappresentava ftotta francese punto appoggio ordino guerra mariuma l'inghilterra l'armata partita tolone finire maggio dell'anno presentava improvvisamente all'imboccatura porto valletta 9 giugno chiedendo rifornirsi acqua notato regata francese orient trovavasi gen napoleone bonaparte l'animatore spedizi one dichiaro sciolto l'ordine scaccio 1 l'hompesch all'inattesa domanda dapprima formulato netto rifiuto eminenti personaggi dell'ordine finito acconsentire debolezza fatale truppe francesi sbarcarono immediatamente nell'isola s 'impadronirono capitale 12 giugno 1798 l'ordeni sovrano militare gerusalemme rodi malta cessato esistere volere gen bonaparte l'hompesch costretto rinunciare sovranita territoriale vela legno austriaco trieste bonaparte promise maltesi corsi rappresentanti propri parigi religione lingua usi rispettati istitui tamburo battente speciale composto membri cavalieri poche eccezioni fondo organizzazione militare aboli l'universita sostituendovi scuola cen trale espulse religiosi nativi isole malta gozo comino editti emanati teria religiosa offensivi sentimento popolazione germe futuri guai partito diretto egitto successori imposero cittadini dure leggi fiscali balzelli enormi aggravati 'giunta diminuzione interessi monti venne creando pericoloso irritazione ando aumentando sino farsi minaccioso allorche procedette depredamento oggetti culto esistenti chiese monasteri alberra ghi lingue esasperare maggiormente animi tuttii beni appartenenti ordini religiosi veni vano incamerati venduti vile prezzo generali vaubois regnaud 1l governatore militare ' governatore civile isole alienati poche settimane motivo modi autoritari prepotenti fiducia simpatia maltesi dicasi generali chanez brouand comandanti guarnigione rozzi arroganti meravigliarsi notizia battaglia navale aboukir perduta francesi inglesi rallegrasse isolani fedeli tradizioni passato fermento tardo scoppiare aperta ribellione ilsuo inizio f ra popolazione rurale motivo tras porto 'di apparati soppressa dente chiesa carmine avvenne tuinulto rimasero uccisi capo guarnigione notabile masson soldato l sollevazione ripercuote cospicua gozo morti feriti ambe parti sperava domar campagna armi eletto capo signor emanuele vitale assistito ardenti patriotti maltesi canonico caruana conte manduca ilconte teuma marchese piro settembre 1798 riunione reclamo protezione re napoli legittimo alto sovrano dell' isola pari innalzavano nuovamente stendardi dell'ordine insorti disponevano 500 fucili 800 schioppi caccia cannone coraggio venne dura lotta straniero gen vaubois tentato vie conciliazione promesse sgravi fiscali vistosi respinto piglio rigore animatori risoluti cacciata francesi dall'isula distingueva capitano guglielmo lorenzi nativo corsica venuto stabilirsi malta sin giovinetto storico vassallo corseggiato 1 barbareschi conto fortuna sorprenilsuo valore ardimento rimasero proverbiali preso servizio marina russa 1787 ove caterina ii affidato comando flotta operava turchi allorche ritirato servizio l'imperatrice concesso grado colonnello malta chiamavano semplicemente ca pitano guglielmo fedele all'ordine nemico giurato francesi dapprima rifiutato scrive boisgelin unirsi insorti campagna vrdito congiura impadronirsi sorpresa forti costringere gen vaubois resa progetto temerario difficile esecuzione accertata moto dovesse scoppiare 10 gennaio 1799 suddetto l'ufficialita trovavansi serata gala teatro doveva colpo pugnalare soldati guardia porte indi avvenuta l'irruzione contadini armati attaccare palazzo notte 10 gennaio terminata rappresentazione ufficiali francesi nell'imbarcarsi marsamuscetto recarsi forte manoel intesero tratto voci sommesse partivano vicine roccie insospettiti diedero l'allarme mandarono tenente roussel cou alcuri soldati vedere trattava cospiratori credendo numero francesi fusero disordine sbandarono gettarono mare fuggirono quei duni fossati infine nascosero vicinanze inseguiti peraltro pattuglioni trentaquattro capitano guglielmo caddero mani francesi cronista ransijat contemporaneo quegli avvenimenti favorevole francesi narra giornale avvertire tramata cospirazione autorita francesi cuni greci accusa pote provata lorenzi tradotto tribunali invitato darei nomi complici rifiuto sdegnosamente farsi delatore condannato morte sommario processo moriva coraggiosamente 27 gennaio 1799 menzionato ransijat scrive comecche capitano guglielmo voluto palesare complici peraltro confessato condanna capo congiura soggiunto diavere pensato successo parve agevoe osservato sentinelle corpi guardia servizio negligenza quin ilsuoi confidarono pugnali cartocci condurre termine progetto erain guisa ideato uccidere sentinelle colpi pugnale gettarsi poscia capi guardia impadronirsi fucile cercare signoreggiare mentre1 ribelli campagna avvisati segni assalito punto recinto estern accrescere l imbarazzo confusione guarnigione ragguagli apprende principali congiurati apprende principali congiurati capitanando cinquanta settanta uomini dove'vano 11 mattina 7 attaccare posti lorenzi doveva impadronirsi palazzo ove dimorava capo maggiore peralta probabilmenteun corso ufficiale cacciatori l'antico regime porta marina d'amato furiere dell'antico reggimento malta porta reale pulis sanita porta marsamuscetto infine forte s elmo dell'albergo castiglia fatti segni convenuti avvertire campagnoli satariano doveva distribuire armi disposizioni concertate mirabile precisione affigliati ab bia tradito dubbia data forte guarnigione osservato nobile aderi congiura partecipo clero secolare regolare esecuzioni capitali sommarono 38 durarono sino 29 capitano guglielmo fucilati xerri sacerdote pulis d'amato gen vaubois preso terrore emano maltesi editti severissimi sino crudelta ciononostante rivolta almeno campagna continuo accanita fioche 5 settembre dell'anno appresso guarnigione francese valletta arrendeva inglesi 18 mese governatore pubblicava avviso volendo s sentire fedele valorosa popolazione effetti grata munificenza benefico affetto grata munificenza benefico affetto riflettendo danno sofferto soffrono famiglie fucilato francesi uniti f colonnello guglielmo lorenzi cospirazione concertata invita famiglie suddette presentarsi palazzo opportune prove disgrazia eccellenza contrassegno benevolenza nome lorenzi rimasto popolare nell'isola sinonimo patriottismo coraggio voluto ricordarne brevemente figura essa degna rilievo meriterebbe monografia particolare corsica mancano studiosi adattiad simile rievocazione tornerebbe onore forte indomabile razza
35,35,35,LA CORSE TOURISTIQUE,Inconnu,annonce,fra,n 2 interessante revue parait aujourdhui luxueusement edite abondamment illustre fascicule contient choix d articles dune originalite d tenue litteraire pair sommaire editorial corse touristique decouverte t touristique corse xiii siecle louis villa couplet an toile trojani touristes prendrez fieres corse d marco bienfaits peste pierre dominique napoleon corse henri pierangeli za bonne politique l'hotellerie henri forge corse illustree l initiation tourisme leon maestrati napoleon repose t invalides henri odessa renseignement professionnel charles nivaggioni l avenir l aeronautique c t ajaccio max roger voyage corse j patata choses c t n 1 f abonnements corse 10 fr continent 12 fr etranger 20 fr
36,36,36,Nutizie di Corsica,Inconnu,article,cos,aiacciu morta madama michelina santandrea nata frigara mortu sgio bertora neguziante annuncia prossimu matrimoniu madamicella maria frasseto m p pasquier madamicella frasseto figliola sgio sulbestru frasseto bastia annuncia abbracciu madamicella vincente lucchesi sgio luici pasquini cannelle morta madama veduva piani francesca 84 corranu simon ghiuvanni rossi statu tombu calciu mula levie sgio mortu statu intarru ghiuvan battistu romani 82 oletta statu abbracciu madami cella emma benedetti sgio rivarola olivese mortu sgio dumenicu tofani peru casevecchie prunu mulatere albertini jacumu firitu stilittata sgio casanova agnulu maria prupria carritteru stefanu ricci det cicconi statu firitu calciu mula prunelli fiumorbu morta madama vincenzia dominici nata casseta rusazia mortu sgio mighele pinelli sarte annuncia prossimu matrimoniu madamicella faustina pietri cuu sgio ghiacumu petru abba tucci sindacu zicavu statu abbracciu madamicella cicilia tavera sgio mighele durazzo prupietariu annunianu prossimu matrimoniu madamicella vittoria ortoli aiutante antone mondoloni 0 santa riparata balagna statu matrimoniu madamiccella maria jasippina giudi celli sgio carlu francisci pruprietariu annuncia morte marse glia sgio francesu fondacci serra ferru statu interru madama santoni mugliere sgio santu santoni neguziante stiliccione venzolasca i7 santi antone eremitu statu piazza oratoriu binadizione fere
37,37,37,A Monsieur. le Vice-Recteur,Inconnu,annonce,fra,l internat cours secondaires devenu vaste hopital jeunes filles proie fievre alitee jours dortoir exigu soignees dune precaire nombre malades grandissant jour jour n presence d grave epidemie s preoccupe haut lieu lamentable etat choses posons questions monsieur vice recteur corse
38,38,38,Partanza di un cuscritu,Toto Cesari,poesie,cos,sentu stringhie core sunata addiu amore tesuruccia inzuccarata prestu devu anda serve francia armata stamane versu etfre surtia bidi affacca fiore franciscuccia maria eccu ciochi disse dulcezza curtesia parti biaghiu accumpagni signore namurati sustanza core priferitu vinti cacciatore parti puru spenseratu alcunu timore tempu passatu listessu calore quande rifurnerai avera amore quande presenza cambiai subitu aspettu pigliai cuniscenza degnu prugettu anchi eo cunosce angosce fenissi parola seria tanti mali mira sola cuntinentali ben carche furtuna passar ghiuramentu esseti fidatu morte dolce momentu vulissi sorte fussi annu pene bedeci tesora tuchemuci manu eju penseraghiu sola essendu luntanu eviva cursichelle nun giovanu cuscrittu sampetracciu tiratu collu
39,39,39,VENDITA,Inconnu,annonce,cos,duttore lucciani moca croce duvendu visiti automobile vendi materiale ipomobile coupe marca victoria vitturina cavalli cavalli 9 eunu 7
40,40,40,Prospérité.,Inconnu,anonce,fra,ete heureux constater bataille corse combative feuille dirige autorite excellent confrere m dominique battent parait aujourd pages papier luxe grand format choix d articles haut interet sinceres compliments
41,41,41,Sonetto a la Casinca,Dumenicu Cristini,poesie,ita,casinca culla bella qual pura luce schietto amor pumposa vaga ridente magica ubertosa genito fior natura eterno azuro ciel verdura acquose bocche invidiosa rende monte dolce graziosa bello immortal passa dura fan corona colli ameni pose sostanza amor EUR fede orti giardini delizie pieni vasto prato qual servo piede mar specchj mantieni arrise terra ciel diede
42,42,42,Giurnali corsi,Inconnu,revue de presse,fra,bataille corse 7 10 1 25 bilan faillite qu entends viens parcourir monts vallons l humble paysan courbe sol improductif ingrat terre inhabitable laisse echapper ja plainte cloche fauche malaria epis murs faux moissonner j vagabonde routes ensoleillees praticables betes cornes j revu mesures tombant ruines ecoles infectes desertes l impossibilite rencontrer fiers visages familiers d autrefois achemine ville j revu trouillard colimacon tremousse peniblement ajaccio etcalvi ports defense puantes galeres forban fraissinet pain quotidien paye couramment 1 fr 80 kilo baccara corrida forcats s'ecrieront bloc gauches 6 mois corse lautre canailles grace verite etle bien pays quon pende miserables piliers front hospice sante situation pauvre corse inchangee subira aucune transformation heureuse dun miracle dun sursaut energie fils ponte nova trahis cadenassee baillonnes oh nausees traitre charlatan familier dela correctionnelle sacristain rue cadet deputes honte mangeur grenouilles senateur corse place francois cote reve dis c pourtant realite sale travail chers compatriotes malheureux etes aides inconscients bourreaux pauvre mere crime abominable decheance cam mm r m mr probleme corse chose point qu 1768 desesperes connaissons energies nouvelles sinceres competentes attendent l heure nettoyage tranchee reprendre compte lourde besogne fumier politique gangrene dominique battent l evil 17 janvier 1925 bulletin plaint raison quotidiens insulaires soient mal renseignes evenements locaux apprenons hasard quun crime ete commis cirnarca dansla casino malchance veut n ayons correspondant village s deroulee l affaire saurions partout lecteurs apprennent accroc verite tache l informateur ajaccio estsingulierement ingrate crimes commettre ici n sommes informes parquet gendarmerie nd do peine prevenir parquet gendarmerie souviennent l existence presse besoin soupconner instant role utile remplir aider efficacement accompagnement tache contraire souci dominant surgit affaire mettre boisseau l etouffer proprement crimes commet incendies viols escroqueries connaissons cest affaire detre malins decouvrir oh opposerait doute refus systematique demandions renseignements grave mort laisse debrouiller presse peuh ca n aucun interet c theorie l usage qu vaut n 22 janvier 1925 bulletin excellent confrere vincent reverrons ae ae dernier article relatif cloture 1 n talent coutumier grives pouvoirs publie mn raisons fournit m 8 justifier mesures pri ministralion once re section grives merle d grand poids mine oiseaux ren quil resta remords venir don bo grand bien l agriculture grandes associe continentaux fussent prises mesure d part change ol affirment merle nuisibles l agriculture boite epoque l puisse chasser commence moment ja lr cloturee has pourtant dang appartements prolonge disque virer n delai accorde ja chasse grive n ri profiter chasseurs mois rabiot ca midi ble excellente raison lan confusion ja demande qu d fi naitre divulguer
43,43,43,"Cari Direttore, Redattori, Stampadori ec.,",P. Borghetti,lettre,cos,ben chio piacqui an scop nu francia truite inne suvu bi possu acerta distrazioni principia diceraghiu bezons bellissimu 3 case cuperie tetti guasi fatte petra legnu pa renu framenti sianu piene tavoni chjamemu purtelli poaru centu carughj strade traversanu bole aspettu eun imle estate andamine pienta cauli domiciliu vecchju caru talasani eo scialu pacienza venuta intantu m approdu paura tempu corghi prestu anci matine passa n mentu chiappu danti annuiosi ava averebbe giurnali piovenu grandina legu possu manci tiatru emnema corse cavalli balli 1soni bula s affari lascianu cotru cni bera stagni posta duv omu puderebbe passa qualchi stunduccia alegra giuvanotte stanu serate emezzu poneli sale nanti coda cum restu p lasciate puru sebiatu camine ferru vede treni tamanti sfila nantu parenu tirati bentu sitomobili vitture avie ea ghianu ventu acqua vinu neve abbissu appuntu sorte diu beculu umidu fangosu anda pasce jornu sentite fischi usine b incanianu nunda bede camini ricetta fume neru eume tante pipponi imburate birestate quattru chjesa campanile pinzutu pinzutu bi dicu nulri affissanu prezzi incredibili goffe pulite mustavate nasi roscunie branone pilate zeni rosse bionde brune culori sapete bestiame mancu ciavemu cani gatti cunigliuli capre becchi muntoni castrati bacche duie quattru zampe bo vulete cavalli jumente muli fere sumeri arecchji longhe corte porci cum muccighili parenu canne fucile infine bo bidete possu sciala abastanza nutate muore vede coda mica ricivutu dumenica passata dispiace
44,44,44,Martinu Appinzapalu in Casinca,Rustincu di Loretu,article,cos,aile muracciole las ciendu rughioni muntagne benachesi stesu ale tamantoni falassine indi pianure epide casinca m scrittu ch eghjuntu settimana martinu curatu castella beculu vecchiu anfarte maschetti jaseppu dii primi corsi canto custu benedetta manu ii mando bicinu senteremu curaggiosi filiga tufoni cose antiche sunu cornu diu risurgi mentu coorsu cus memoria ramenta castica manco omi petturiccia intellettuale soga vergali lin cronici anostra storia petru antone monteggiani marci antone ceccaldi anto petru filippini diu viscuvatu fieri satirici cavunelti dia penta petrignani cristini venzolasca risorge sambucucciu amicatciu not detta fiere etes p annata nova nidu pudiad sceglie martinu ap pinia cum eellu kyrn pali dia fede edi speranza nantu piezza sante mergherite l aricumandemu iuttu core amici vecchi novi cavaglieri castellaresi d altromide stemu sicuru martinu fera piezza lene caru augura successi disu jorni
45,45,45,Sottu fornu,L'Oziosu,conte,cos,mane buone zia antonia maria discurria zia cecceca sottu fornu intesu nunda zia cecce r 4 inno cummare cie novu cie cumu sapete pane vindera 36 solli 36 solli piombu feremu povere disgraziate cumu feremu accorre sturzula disse minutu grossu vuole stacci boi 0 cara bi sente docu tuttelistesse boi altre panattere pre vuole pratiche donne qualita abastanza marcatu prupurzione oghie belle pane crisciutu 36 solli bi trimera soga palpatoghiu sentitela cum parla diceria eo cause pane caru cacciate piuttostu vostru amicacciu lerio linguaccia bo eo amighi averete boi qual berio cunusciutu berio beria 0 scema lou cridete eo bogli taccabil onore sapemu boi perla preziosa circundariu fatti corsica cervione boi puntu bi tucca boi sapiete storia francia possu cumu storia francia boi pensiuna tanti pensiuna quandi cunuscite mancu lerio parla pezzu strada mamma piera mumeriitu vede struita bera mancu cunusciutu mamma piera tecchia tratecchia capiscu vuole culla trotro troin percetto scumettu bo cridete bi sborsa pocu mancheranu belli pertiti belli occhi mira mane sente avale belli occhi belli ava peccatu ell statu tempi scio lerio averebbi finanzatu pocu sapete bo curiosa antonia mari qual persunagiu capita perdingulina capurale ministri bi pensione puru capitu inde b bulete asu poveru omu m m m crisciutu patente contribuzioni quantu femula finita tecchia eo spinu troncu sinu ossu minichellu parchi pensiunati stianu cune anca nanti altra cavallu fucone capiscu boi pigliete pretesa pudereste bacia billicu cundizione sfacciata alo rimediate parole risa sente bi piecenu sunate sapete boi duve dente sente alingua appoghia intantu bi cumpratu gierdinu funtanella fratellone statu obligatu vendelu bulia manghia eccu junti foi pruprietarii porcu ministeru bureste eo zitta bo benissete funtanella cunuscereste mancu pientatu ali bellezza vanu dio vuole qualchi annu speremu pigliacci bella manciata vostru figliolu orsi antone avera mancu bisognu gradu sargente moglia cuntatela cumma culuniale mademoiselle grace fratellu givanotta pigliu do grassa magra fratellu lava ciarbellu lascialu avvicina martillone vogliu leghie lettara mariterete corsica corsi ea muvra mostra tfante cose tanti sentimenti luni adore caccia disturbi arrighen belli pertiti parla boreste cridete figliola scio filippu matteu puru uscio guglielmu piglierebbenu bulenteri cumu capitu scimiti poche pretensioni inde mancu eria sapia truvateli almenu paragoni dicu micca esempiu figliulona maria luisa for voreste bursellu dilla boi baraterebbi poche scio cappelletti inturchiati boi dicessete figliola cumpare capra diziu vincentolu puru ziu jacumu maria pare abbianu avutu quisti annu centinare alimie affare puderebbe anda zitta zitta zia antonia mari sentu pare voce maritu povera digia mezziornu datemi prestu pane eo vade cinque minuti dopu intese gridi indu vicinatu dumandavanu zia antonia maria risponde cheta cheta sudisfatta nunda b inchietate jente zia ceccecca maritu trovu tavula ronda
46,46,46,Una Lettara,A.C.,lettre,cos,marseglia 30 dicembre 24 caru cumpatriottu ricevu muvra mica abbunata subitu parchi aviamu cambia mandu lettara quindici franchi parl abbunamentu cunsigliate scrive corsu faraghiu cioche possu circate vularia tengu cara muvrarella cum maistrale amore dii corsi pauso unamore troppu puru troppu sanu parchi sparischi mancu ombra infidelita guanl semu luntanu isulella cara sfurtunata pinzemu tutfu profumu aria marina squisita fina vene sbattula carez za mare canta dolce canzone mamma cantava quandi eramu chiughi azzicava dentru veculu guantu cuore sborda affezione nostalgia pinzendu troppu prestu scorsi noslra giuventu quell epoca schiarita d allegrezza dau sole corsu appiatta profumata fiori salvatichi macchie cuore quietu limpidu acqua fiumi comu pudariamu scurdacci billezza muvra caru cumpatriottu grazioza bella salvatica tanti loghi dia corsica porta mucchiu duci parola corsa affettu fratelli finiscu lettara zifilucci chiamanu mamma guatranni gualchi parola corsa cumprende futtu canta canzona papa rralala mortu papa lagatu patrone fiera quande dicu parla corsu
47,47,47,Illusions et Reéalites,Pierre Ignotus,article,fra,corse dotee d train express relie grandes villes souci poussee retablir fam train express d guerre compagnie d automobiles etabli service regulier ajaccio ei voyage beaucoup court qu chemin fer utilise faisait confortable recettes reseau commencait baisser monde utilisait l automobile faire vite eviter d trimballe cahotemenis chemin fer c attirer voyageur m fontaine retabli l express mesure prise mure comprimes quinine reflexion utilite nest realite qu source revoltante tracasseries voyageurs dirai qu prenant directeur voulu moquer monde train qualite express brule gares s arreter fort temps principales pressee bien prendre billet gare d arret bien dessert localite faut s embarquer autretrain rentrer logis impossible m fontaine subordonnes permettent voyageur exam ple s'arreler barchetta prend eviter train soir billet pontenovu utilise bien entendu l express croise pontenovu train d ajaccio n done qu prendre billet pontenovu barchetta suite rentre toutefois trop simple directeur reseau n parait l habitude simplifier choses voyageur oblige d attendre dernier train soir arrive barchetia heures nuit vainement essaiera obtenir billet chef gare pontenovu chef train messe refusent donner satisfaction l inspecteur ailleurs ia tranche question menacant faire rapport direction c sorte express utile voyageurs bancal corrida rien vrai avions toutefois bons representants anomalies produiraient
48,48,48,L'Amore,Maistrale,chant,cos,l amor acillucciu mezz pettu notte rumena ale sfida sole timpurale dorme fora veghia lettu l amor lumera lume face intondu zitella pare stella luce spera batte core picchia testa festa face anda l amor eta ciarbellu spia nta 5 vecchiu presta zitillina scimisce gallu gallina frate tanta amore dopu pare scimitai riturna malatia fantasia moglia dumerai
49,49,49,Prupaganda in America,U Prete,article,cos,prupositu brevettu elementariu americanu capicorsu lagna bastia journal guvernu francese dia facilita giovani corsi perchi ell ot tenganu carta pecura vice rettore afferma sanu leghje scrive cunta pare americanu parla brevettu francese grandi impurtanza america scopu gallica prupaganda fort cafe averebbe dettu madama sevigne propriu stupidagine altre nazioni cuntentanu manda esteru duttori prufessori giurnalisti rialzanu prestigiu populu megliu simplice brevettatu bedimu mica prupaganda poru america giovani corsi sanu leghje scrive cunta francese almenu ell dicanu mane troiset poincare uri grand homme france premiere nation monde litania dura paternostru jornu doumergue ave maria cecilia sorele gloria patri vercingetorix manera corsi ca andera salvamentu americanu quistione c assicura centu cinquanta corsi bivenu america l istessu numaru fora italia saremu povari mischini povari francesi1 prighemu americanu ritor nua ciudad bolivar induve l aspet sulana agostu
50,50,50,Bon dì et bon annu,U Sampetracciu,article,cos,passaf ecapu annu eun accorsi cum jorni travaglai dura sai piugoni cherenu succorsi stasera vegghiu solu iu fucone perchi agghiu ricevutu almanaccu legghiiu rilegghiu fiaccu possu scriv futti caru rocca dalli annu dispiace trovu affanu pude vene parlatti bocca scrivu scriv solu feni tutii to core salute pace cari fratelli speranza fede indu pa bbene riuscita furtuna zitelli vecchj longa pene altru nun dicu pro faria allunga discorsi inst occasione longu vole preparazione apreparatu serve galleria salutami degna sposa tocca manu serafinu passa cucina chiama giardi edi iomandu basgiu maria
51,51,51,A Mertinu Appinzapalu,Ghiuvanni Olivieri,poesie,cos,merti pocu pali sparghiela to tenda castellarei ombra pini 37 3 preferisci siti rembu mare 5 mira partanza cagione fammi perde tempu q canzone 4 casinca costa orientale giardinu bumposu ls sidi bonissim sparghj ale puderisti lampati pietrosu paisolu pariglia duve nascisti invigliaa 5 rustincu loreto tar pensu cunfratelli quandu primi fiori spianterariii sumente strana pare anchi armerete canzone paghielle rallegra cor zitelle d vedeti merti seria cuntentu ur affacata prestu feraghiu 4 ber ava jurgu nun senta capace lega fuculaghiu dopu quanduli jorni allungherarita prumettu vene fasgiani
52,52,52,Un grave évènement,Paulu Orsoni,article,fra,nouvelle repandait jours laissait causer profonde emotion compatriotes societe nations decide ordonner enquete scientifique malaria paludisme corse moyens remedier fleau l alerte ete vive milieux s d n occupait corse pourvu fut point but politique supreme conseil international n eut point ete saisi dune requete tendant considerer corse minorite ethnique meritant constitution particuliere question n grave l evenement reellement important societe nations denoncant foyer paludisme redoutable constituent plaines corse constate evidente parente l etat francais manque elementaires devoirs corse devient sorte rapport sanitaire pupille societe nations regarde pays delaisse peuple recoit depend l appui protection indispensable enregistrons historique gros consequences ordre l avenir
53,53,53,A GALLINA VECCHIA,Martinu Appinzapalu,conte,cos,regnava tempi ghisoni sacerdote dottu degnu rinumatu corsica piuvanu altru diffettu pucuc ciu mani strintu vecchiaia pianta calcigata stra ziata yavarizia riusci supera lomu bella spampadata punte alte inde muntagne taccanu nebbia intrada vaghime ghiornu prete bendazianu giovanu acqua andede visita vecchiu piuvaju presento cullaziome tinia imbitatu vutia solamente mette prova uj cunfratellu nanzu disse cumpagni attinzione m aspitterete usteria dopu messa man datemi chiama duve piuvanu senz altru x versu ondeciore preti spassiavanu braccette presbiteriu quandu affacca staffetta decisa aio gio curatu vinite gio piuvanu scusate livemu cumpagnia almenu gio curatu aspettatu cullazione parena amici stretti PS piuvanu parlava talianu amico caro amico intimo oh oh oh ntu 0 lintava pianu pianu parolie amuranza straurdinaria abbracciava cunfratellu spariamintendu dalti argumenti teologia filosofia giornata intera passeggia pace poii mangieremo gallina vecchia mangieremo pranzo pronto ... duie possu cunsulammi pensava prete bendazianu mutia appittitu accuzzatu chilometri cavalcata paziente rispettosu lasciava vecchiu ridia sottu sottu stundetta dopu altra staffetta presenta aria furia grida alta voce manera mondu piazza sintissi aio aio gio curatu fate prega vinti morenu fame v aspetanu usteria lasciatemi anda gio piuva n videte cum appressu x insiesi cotta mangieremo vecchia gallina ben gallina vecchia prete bendazianu cennu occhiu vulia vinite paisanu degurditu appende ju brecciu liberu mette frusta eloquenza scusate signor piuvanu sio permettu qualchi insistenza sapemu onore amicizia tratellanza vostru core diritti sapemu dino taula piuvanu umile taula paragone pussibile parla eiu dumandu gran favo re privabbi vostru amicu lasciallu vene cullazione alo vole m incartigatu altru torni amore dede tirata preti fecenu ceduta tirata sensu cuntrariu trascinenduli qualchi passu ripetendu mangieremo gallina vecchia vecchia cumedia duro quantu insistia tirava altru puntu onore ritirava ripetia prete lasciava tiraglia mondu fighiulava scena campava lene nasci staccanza andedenu 4 usteria vecchiu entro sola gallina vecchia reti gallina vecchia pretendenu dicegattive lingue tomba lampata indi pignatta santu omu eiu um credu
54,54,54,Avis,Inconnu,annonce,fra,decret 7 decembre 1924 protegees 31 decembre 1925 dispositions decrets portant concession franchise postale correspond dances echangees 1 mutiles malades guerre instance reforme pension d appareillage d part directeurs regionaux service sante medecins chefs centres reforme d appareil page presidents c r dautre part plis l adresse s d p
