	Texts	Auteurs	Type	Position	Arks
588	   serata di settembre  a petru rocca  ha fattu un calore suffuchenle   u crepusculu accessu si abbicina   una nebbia leggera a la marina si atteppa timiconi in lu repente   a notte abbughiendusi pianu pianu   1 coppi si ne vanu a la friscura cu la so  piu leggera vistitura   la ombra in la ombra e la man in la manu   senterete in li scorni   uh  uh  uh       chi lu ecu si ripete molie volle 4  funtana  a la chiesa  in le ritorte e u cennu di a nostra giuventu   ma ia luna tramonta  chieta chieta   e cu  ss occhione sbia li piu arditi   molti gesti da ella so traditi   a mamma la figliola cerca  inchieta   i sgaiuffi so appress a lu raspollu  li amurosi a un lughettu scantatu   1 cantarini appress a un serinatu   ma fughie lu puela  rime a collu   e muse per qui unn hanu passaportu    u cacciadore e in posta e tira a bolu     e notte    e la elicona    ghie u niolu     di quessa  u muvrone si ne e accortu   ss	   L'Orsu d'Orezza  	   poe  	   2  	bpt6k1330883r
589	   inde lu abissu  a i stranieri e a i foschi fanali isulani   i colpi di fucile chi sbrullonu in lava  parlonu un linguaggiu orribile quant e novu e ribumbonu attraversu e nostre pieve colme di stupore  senza chi u rimusciu trapassassi i muri di quella povera casa  le affare essendusi pruduttu fra disgraziatacci corsi   ma  eccu  subitu dopu  le incidenie di verde  un autocar chi va ad impellassi  cu tre o qualiru turisli  contru e canne di qualchi fucili   frombu e schiamazzu in prefellura  sin a ind i cerbelli maturi chi avianu curatu e piu ferme intenzione sopra a noi     per lu diancine     spergiuronu in coru e vittime   i turisti  i nosiri paisani   eiu siessu   e impresarii di ogni mamma  tocchi tulti indu le enore o indu lu interessu    quale avaria mai previsiu un fattu simile ind a mio corsica    lento certamente  cume scusa  u sgio marher     cum ellu diventa  periculosu u paese di i banditi   dicenu publicamente  cu disprezzu  i turisti   a questi chi  in ogni staggione  riempienu in parte u biotu impressiunante causatu da le emigrazione e chi sanu chi e legge di a natura e quelle di un statu si imponenu differentemente a i corsi  i ripigliu cu rispettu      umbeh  un ci si vede piu nulla sopra a e nostre stradaccie  amici     eh  pussibule  poi  in cor di mezziornu  ind u vosiru paese  chi elfun ci si vedi micca chiaru  un smenticale chi voi avete  in corsica cume altro  fanali chi un devenu lascia abbughiuna  devenu fa luce sopra a ogni puniu e ogni cosa da chi prugelti e    sogni viaghjnu senza inciampi sin a so  realizazzione  sti fanali so i giurnali     a stampa  dite  quella ci e  ma e stampa chi un sughie che u latte di a pulitica  mamma e sposa di u bandilismu  e chi  cun una sirana desinvultura   incolpa e nostre brave pupulazioni di cumplicita  cum e si ella un cunuscissi le origine ci puntelli di u banditismu    or siaie prudenti  amici incunisciuti cume eiu so francu e bonu fenduvi lume in sl abissu     videte  sse macchie e  sse furesle incendiale   videte  ssi forni cu e so case intornu trafalati  videle  sse donne e  ssi zitelli rosi da e frebbe  videte e cunsiderate  ss omi chi la inghiustizia ha armati lu unu coniru lu altru  videte ssi baitelli chi parlenu carchi di carne umana a cusi bonu marcatu  videle  ss altri chi rienirenu in portu carchi di balle di    sicalura       videte  infine  sta cuppulata gigante in grembo al mar tirreno  chi cunsuma in le onde cummosse  tale un antica galea  e ciolia  trascinata ind un spaventevule fondu  tracarca da e pisante catene di a schiavitu     voi tulli chi vi rendite numerosi sopra a sta sfurtunata terra  quali funui scopi chi v inspironu   quale so e speranze chi vi suslenenu    fughjte  insensati  da a corsica dissanguinata sottu focchiu di la indiferenza universale   fughje  aventurieri oziosi  chi a patria di de fpaoli un vi e ancu prupizia        fughjie  voi altri chi tenite un pezzu di pare biancu in manu  chi quici un ci e piu nisunu chi sia in istalu di offrevine di u soiu ne in istaln di pudebbi para da i briganti    riturnerele  eleganti e tranquilli  da quici a binti o trent anni   tandu ci saremu magnati lutti fra  noi  na  almenu chi cursichella  ind un sirepitu  un strappi e so calene su ghjnose e torni a vispira a vita ind u so  celu incumparabile  piu porgu  piu clemente  piu serenu     ss	   E. Leturna  	   art  	   3  	bpt6k1330883r
590	   a i cumpagni di fede  cari amici  so turnatu da la santa di niolu   so falatu accumpagnatu da tanti acelli di volu   ed evisa aspittava u so amatu russignolu   mi hanu fattu dimustranze di le piu oneste e care    avia u me fucile a collu a la usanza militare    premiu chi mi era tuccatu a u cuncorsu singulare   in prisenza a tanta jente   u cuncorsu si e passatu ind un bellu e vastu acciniu chi ella avia preparatu ghiannettu lu sampetracciu  teatrinu tant amatu   cu tantu zelu di onore   a sia santa binadetta si senti ogni cantore  cu la so  musa diletta sviluppa lu so suggettu tiratu nde la bareita   u giuri era cumpostu in curdiale amicizia   e fattu per ghiudica  senza ingannu ne malizia  un sende a me di luda  la so  imparziali ghiustizia   u mio cantu di u fucone mi valse di esse premiatu   un negu a me cuntentezza  ma  si altru si era passatu  mostr unn avaria vilenu  ne critica u un tal  giuratu   cari fratelli di fede e di puesia ingegni   in lu cungressu cursistu    femu fatti onesti e degni e un temimu i tristi agenti chi marchianu per impegni   ss	   Minicale  	   poe  	   4  	bpt6k1330883r
591	   cose accadute   u purcastru  u ben di ziu ciccatone saria statu una pasta di omu senza quellu so viziacciu pe a stinzera di e carte  unn averebbe fattu u minimu affrontu a  moglia  a corcia zia mallena  mancu per un paghiu di boi  ma  a passione maladette di u nasu 1  duvia fini per rendelu buggiardu cun ella e imbentadore di inciufule  a sol fine di strappa a quella santa donna u ripustinu  2  chi ella si facia  gni tantu a rombu e rombu di privazioni  e chi ella dicia duve ghiuva   pe u be o pe u male     o malle  averiste micca cinque franchi  mi  so senz arba tabacca  e    a sai  diu magna mi ne passu  ma u fuma    e    oh  fratellu     deh cume vole chi io la appia   tinta chi io so  e mio rientrate e cunosci ancu tu     allora ciccatone cummediava un diavule di suspiru  surpendu a pippa biota e fendu nice di scuzzula lu arbaghiolu  e a tinta donna sempre credula maigradu la ultima decisione di un cede andava a piglia in la scaransella u cinquinu tantu straziatu chi in quattru e quattru  si ne andava in fume in lu butteghuzzu di jambasecca  dopu qualchi passa e beni nant a quellu favulinacciu fattu a ziguli manguli     o malle  si no  cuntemu di zappa a vignulella quist annu ci vole un baglione novu  lu altru e troncu a lu occhiu e un si po piu bolle  averiste micca un cinguinu da chi io mi ne faccia piglia unu inde picchini da cumpar lucca chi ba dumane in corti   u cumpar  lucca era un cumpare di u nasu      ok  povera me   deh a sai che un ne aghiu  ma vai puru  u vaglione ci sera st etima chi bene  tantu  ci aghiu da anda eiu ci una soma di pomi a bende      aibo  aibo   tu unn hai jalabu di sapemilu sceglie   un cunosci ne am  biu ne tempera e serianu soldi jettati   eppo avale u terrenu e in la so  vera  e st etima chi bene    o ventu o cudrura    qual e chi sa      oh  diamine      e purtantu a vignulella un si po abbanduna      murmuginava mallena andendu a stafuna ucinquinellu  furtuna di a casa  e u cinquinellu facia listessa strada ca li altri   face chi  ticchi oghie  ticchi dumane  quandu un canapu  quandu laltru  a zia mallena si lasciava burla  e la economia  a pera pe a sete  era sempre pe u nasu     or te  fece un ghiornu  dendu a solita pezza bianca a u maritu  bai eghiocatilu   ma senti   sera lu ultimu  e un bale chi fu mi imbenti piu strofule  un la mi ficchi piu  ghiuru e ti pesu a manu   e pinfiacchevule donna si misse in capu di jugne ad accuzza tre cinquini per pude cumpra  toccu dicembre  un purcastru da alleva   u ben  di ciccatone pruvo e pruvo  ma un ci era le arte di strappa piununda a mallena   a decisione era seria  e a compra di u purcastru era decrefata  ci vulia a cambia tattica   durante una quindicina  u nostru amicu fece lu appenseratu  e indurmento a sfiduccia di a moglia  maladiscendu u nasu e chi la avia imbentafu  i jucadori  i bufejaghj cu tuttu u subissu     hai raggio  cumpagna  u jocu e a ruina di lu omu  e ancu di grazia chi io mi ne so abbistu attempu  disse una bella mane  arrizzendusi  luni chi bene  situ boli  falemu in fiuminale a infacca  ssa vigna  e di prima  di unn ave compiu un si piglia riposu  dopu  contu di ponemi un mezzinu di orzu    dopu  ci aghiu i pustemi    e dopu     e ciccatone prupunia debisi quente capelli  avendu pero a so idea maga in chiucchinu     ale  o ce  u tuvagliolu e prontu  si no cuntemu di parte a ora chi ghiovi per fiuminale    fece a zia mallena u luni da mane     le  ie  abbiati intantu chi io di a un assalivata a  mio rustaghia da pudemi fa una manatella di rusti  3  falendu   mallena si abbio pe a stretta di a sumeraghia  ghiubilendu  e ringraziendu u signore chi avia messu a 5o  santa manuin capu a u maritu   quand ella fubbe un pocu inphio  a u locu duve a stretta rintorchia per perdesi di vista da u stradone  ciccatone lento un fischiu da quassu     o malle  pianta     deh chi diamine ci e ava   lento quella arreghiendusi e mettendu a palma di a manu a la orecchia per pude coglie e parolle di u maritu     u purchiuculaghiu  4  e in paese  e i purchetti mi parenu passatoghjsi tu hai idea di piglianne  dilla  o sinno  biaghia chi ti appi   i   i   cciu     e chi prezzu li facenu      cin e a dece e a quindeci  ma quelli di dece si so lattenti     ah inno  lattenti un ne vogliu  chi piglianu subitu u raspiu  5 scegline unu di ss orecchj longhi e spini sellati tantu  per cinque franchi di piu       le  ma    le affare  le affare era u ripustinu    guarda be da pedi  in mezzu a strapunta e u saccone   ci ne e quattru  piglia i tre chi ci volenu e lescia u ferzu pe a semula     ba be  ba be  aghiu capitu  abbiati puru  perche eiu averughiu da triga un mimentu per assicura u chiustrellu   mallena si abbio pian   pianinu  vultendusi ogni tantu  ma junse a vigna senza chi u maritu a chiappassi  aspettata un ora  aspetta dnie  cic catone unn affaccava mai  e a minima malizia un traversava u ciarbellu di la appenserata donna  tutta calculi e debisi per u venturu maghiale   a la ora di cullazio  per un magna sola  piglio a strada di u ritornu jendusi ancu un carcatellu di accendime  6  per chi u so  passu un fussi tuttu persu   strappata da u dighiunu  fiacca da u pesu e u viaghiu essendu longu e penosu per quellu strittone arripiccatu  un ghiunse in paese che a la attardata     ohime  la mio sorte  deh cum e chi ti un si falatu o ce  so morta di fame e di fatiga      menu male  sell unn era  ca guessa  omalle     menu male  chi ci e dino   santu signore     ci e chi    u purchiugulu        u purchiugulu          la avia chiosu in carciula  intantu chi io pudissi assuda u chiostru  ma ellu    porcu mundacciu ladru      a cosa di a cumpagnia     sfrida e strida    poi  calculenduu so colpu  salta nant u cascione di e chioppvle  6  e dacula  pe u purtellacciu chi li venia apparu  a si sgavucchia     1h  diamine  enimu ha pussutu vede di und elle e pigliatu     oh  pesta  mi so crepatu in corpu per gira i cafaghj  8   nunda a fa  cume sil aria u si avissi surpatu      avara ritruvatu a banda  e cume u purchiuculaghiu sera un onest  omu  ci fera cennu     ah ie  simu freschi pe u pur chiuculaghiu  avia una faccia di assassinu  ma si u diavule face chi io u scontri e vulemmi niga  lu imprumeftu chi per meo per ellu ha da esse un gattivu purcastru      santu diu  lascia  lascia corre  o ce  un bogliu chi tu ti cumprumetti per cusi pocu  eccunumizzeraghiu torna dece franchi  postu chi cinque ci si so       mancu piu quelli  o malle  lu aghju dati a manceccu chi andava in corti per chi ellu mi cumprassi un ferriale da sarra u cateru di u chiostru     un bole di  ne ecunumizzeraghiu quindeci  e ci cuntenteremu di cumpranne unu marzulinu per quisfannu   lascia corre   e u ben di ciccatone lascio corre   e cume fa altrimente  chi  purchiuculu ne avia compru quant io ne aghiu inmanu  1 vinti franconi  straziatu ripustinu di a corcia zia mallena  si ne eranu andati in fume a ghiocu di nasu inde a butteguzza di jamba secca  caldi caldi  tempu surtiti da mezzu a strapunta e u saccone   ss	   U Sampetracciu  	   his  	   5  	bpt6k1330883r
592	   rimaglioni  a lu orsu di orezza  a u pueta rimaglioni jmbiu quistu salutu  par dilli chi li so  scritti purlaranu pocu fruttu  e chi lu so calamari  e pienu di inchiosiru brutta   si aununcia la decadenza pun pueta capi vanu  cui muto suventi pelu cume i sumeri  di branu    ala fini si e scupariu ghju ciarbellu rnn era sanu   e cumparitu a ja barra di li giurati muvristi  par ave leccu a brinnata pi li giurnali panisti   lu hanu missu in qu arantena  ava cerc altri pruvisti  jecca duv ella ha stupatu ce piu fintu ca lu gattu   cerca come un feru cani    si rodi un ossu lampatu je un balcon  di a prelettura dava u mea culpa ba datu   un marlere  ci un calabraghi gh elpavia miss a u stacciu fenduli lu bangagliacciu  citenduli come piaghi    oghj u tontu rimaglioni ni faci un paghiu di umoni   ansuncia cerli nutizii  e pratendi un di che veru   ma tuft ognunu si avvedi chiuso  biancu unn e ca neru   e chi li so lampiunali   ammuntali  fani zeru   inquant a la so cuscenza   oh  cum ella je mischina   soga un parla di li sanli  e vol facci la duitrina      vai  vai  o rimaglio   a to santa e san quattrina   ato lingua e com a te  grassa e carca  e lumbrigosa   ava voli mett a li altri  a to vesta puzzinosa   ancu pa  li to paesi ti cantanu a jacrimosa   quilli chi hanu imbuffatu  ti han imbuffat a crepera    ava lu otru si e cripalu    e non ferma ca la occhiera   aspetti a lesion di onori   mettiti una sunagliera   eppo gira li rnghioni come u ben  di jambattista  ma  par lo  reputazioni   e fatti ancu qualch acquista  unn abbaghia piu canzoni ma fa u stroppiu senza visia   e iutii li to bucconi  quandu rientr in paesi  pagali di  sgio  sgio  sgioni in panatra marsigliesi   ma  cambia di sottu segnu   ti sta mali  o rimaglioni    ss	   Olmo.  	   poe  	   8  	bpt6k1330883r
593	   u piscadori e a pisciaredha   favula   e meddu lu pocu  certu che lu mori all incerlu    sta favula pruvara che li me ditti so fundalti  e po  dumandetia malfatti piscadori in cuzza      quistu piscava in nuvaria ma la presa nun fu varia   una piscinecia da nudda fu  po   tutta la so  pesca  eppuri era di manudda       mo suventi la acqua e fresca    sogu tamant a una zecca  dissi a pescia di la inzecca  e di me chi ni vol  fu  chi va ci e nudda da manghia  lentami  na me vadina   e qualchi mesi ad avali fare  pesca bedda fina incu lu to particali       nun di puri piu nienti  tantu se  pa  li me denti  e meddu lu pocu  certu  che lu mori all incertu   parlata di sarte  ss	   Simonu di li Lecci  	   poe  	   9  	bpt6k1330883r
594	   canzuneita pe u sgio marlie  aria di   cadel roussel   lu cunusciie cume me  bis  u nostru gran mansiu marlie  e prima chi e  vi la aghia dettu sapele chi e u nostru prefettu  ah ahl sintite que  viva lu gra u mansiu marlie   innanzu di veneci qui  bis  mansiu marlie siava in pari  ci cumandava cun grandezza  la generale sicurezza      a ah ah sfntite que chi gran  testa  mansiu marlie   ma  un ghiornu  mansiu marlie  fu accusatn da daude  bis   di ave ghiucata un certu rolu  iu la morte di u sc  figlielu ab   eh sentite que    par chi sara  mansiu marlie   ma  come lu mansiu marlie e lu amicu di poincare   bis  pai quissa nun fu ziricaiu e in ajacciu ci fu mandatu   ah  ah  sintite que   chi rigalu par noi  martie    ma dopu chi e sbarcatu qui  a lu palazzu lantivy   bis  un temend alcuna timpesta  di brinnaghj prese la testa   ah ah  sintite que   chi tirannu chi e stu marlie   eppoi  in capu si ficco  bis  per fa gran piacere a sarraut e a li ultra francesisti   di strangula li autonomisti  ah  ah  sintite que   zappeti in mogliu  o sgio mar si me   questi nunn hanu alcun paur  di stu re di la prefetiur   ci e la corn inturchiata muvra chi la ampara a fa la manuvra     unu  dui etre 1    marcheti u passu  o sgia mar  el  si ellu vole cuntinua   bis   e la guerra vulecci le   bis  un di sti jorni  a la colata sara lesta la so  falata   si  si  o sgio marlie   per cuntidabbi a fraissire     e si ellu teme u mai di mar pigliara lu camin di far  bis  e trinnichellu  via via   la azzighera finu a bastia   par ricurdassi he     di cursiche ja u sgio marlie   mi  alessandri di chidazzu  ss	   M. Alessandri di Chidazzu  	   poe  	   10  	bpt6k1330883r
595	   in niolu   puesia letta a  quinta merendella di i pucti  in casamacciuli    gloria a u parnasu corsu   salut a tutti  lu orsu   di bone core   e cun sinceru affettu   a rocca  a ghiannettu e u vincidore   tutti li anni  in niolu   a musa stende un volu    ghieta  chiela   e  gni pueta canta cu a venerata santa a la secrela   canta la anima corsa cu a so  vera risorsa naturale    di gioia ne emu e scosse   e rimenanu le osse di u gran pasquale   fraferna merendella   quantu ne si piu bella in sti cuntorni di u centrale roghione elcrnu testimone di li frastorni    sulenne merendella    mai ci ne fu piu lella in puniversu   paoli dice a sampieru    szittu  chi un desesperu      nient e persu      deliziosi profumi    a lingua  i custami     in stu rughjone   e quelli vecchj eroi grideranu cu noi      viv a nazione    ma tal  grida dispiace perche disturh a pace ia  ssu parigi   pe ajutacci  so quenti    chi bole si ne stenti   falzi amici   a nostra   muvrarella     di a sucieta nuvella e la fierta   e si ella  mbela o pasce  cova e face rinasce a liberta   cu i cucini francesi un screm incortesi a dali taste   ma  stanchi di e suffranze vulemu e migliuranze   e  corsi e hasta   ss	   L'Orsu d'Orezza  	   poe  	   11  	bpt6k1330883r
596	   u castagnu di zia madalena  g quanta volie pensu e lu castagnu chi e bivinu a ja mia casa paterna   rivegu notte e ghiornu su catagnu   duve vorria passa una vita eterna  ghie custi chi le estate a mio vicine face centu discorsi o catalina  di inguernu di e castagne inzzucherate a tallominca ne fuce le fassiole  di estate si rallegranu e figliole stendnsine a ln fresca stragnegliate  lin ciccone  gudendusi a friscura  ci face qualgri strana   nlatera   li impicgetelli  in cerca di aria  sana  cijanghienue passaccinn momintella  e dopu due  vanu sa la fontane  a le orte di lu anticu fiumicellu   per fassi cu e zitelle di u paese y  pucucciu di amore a la francese   ed eiu chi a ju pede ogni stetina  ci fecia un lettinu di filetia  ava chi ju ealores abicina  xunda che di pensacci mi adilletta mi giru e mi riggiru in ogni latu me castagni un ci ne e   o trista fatu    ss	   Ghiuvanni Olivieri  	   poe  	   12  	bpt6k1330883r
597	   pe a muvra sillimanale  so dui anni chi noi semu stati custretti di cessa a publicazione sittimanale di a nostra muvra per un falla esce ca ogni dece jorni   la ora e vinuta di intensifica a propiganda cursista e sariamu dicisi di stampa un numeru tutte a dumeniche     pera  duvendu dumanda un novu sforzu a i nostri amici  avemu inviatu a cinque centu di i nostr  abbunati un quistiunariu duve no  li dumandemu    4  si elli preferiscenu chi a muora cuntinui a esce ogni dece jorni   2  si elli preferiscenu una publicazione settimanale  in stu casu  lu abbunamentu saria purtatu a 18 franchi pe u cuntinente e e culunie  e a 15 franchi pe a corsica     pe u nostru prossimu numeru averemu ricevutu tutt e risposte chi noi faremu cunosce  a tutti li altri abbuzati   in seguitu a stu referendum  pigliaremu a decisione chi cunve  ne   ss	   Inconnu  	   art  	   13  	bpt6k1330883r
598	   due manere   ciocchi ci vene da pantepati dev esse cunsideratu  da quelli chi un si so lasciati impastardisce da lu interessu o chi hanu avutu a forza di oppone  al assuffucamentu di un educazione di strapazzu a volunta di fista se stessi  cume e piu gran richezze di una razza ridotta a  servitu da e ceche vicende di a storia    i prufittatori di un artificiale spustamentu impostu da a legge di u piu forte godenu cun ghielosa attinzione di a mancia bundante di una spaventosa prostituzione   un guvernu demagogicu  ugualitariu e centralizzatore ha per primordiale necessita a cura di i mantinuti chi  a colpi di brinnate e di favori si facenu i cumplice di un tal sistema  antitesi di a morale a piu elementaria e di i piu sacri sintimenti     fra itesori a noi lasciati da a sterpa vene in primu locu a lingua  stu filu di ariane chi ci traiafa un ghiornu da a catarazza labirintosa duv elli ci hanu palluccatu i demonii di una gattiva causa e duv elli ci tratenenu  i schifosi carcerieri di riclutamentu isulanu   a francia  dice una legende di origine sequanese  e u paese di a  liberta  a prottetrice  di i chiughi e cent altre cose chi si  tantanu ne u stessu tonu tag giore       forse e per stu mutivu chi  dipoi un seculu lu avemu vista purta  in punta di e bainette  u barittinu rossu ne tutt e parte di u mondu duv ellu ci era populi a ammaistra   oghie ancora  dopu a tragedia senza patu di u 19r4 i so cannoni rughianu in siria e a u maroccu tandu chi u so laicismu  cume ur acellone di preda  si lampa dant a la alsazia lorena e  a brani  ti strappa ogni particulanita chi avianu resu ste pruvin le cusi furtunate e chi u guverhu tedescu  malgradu e so lgide direttive di amministratone  avia ghiudicatu inviolabile   ppuru li omi di a pace di  verrsailles  quella infernale parmedia  primurosi di veste  atti i piu strani cu li abiti di a e e di la onesta pruclamolas u principiu di e nazionalita ne cendu pero ne l oppressioim popuuli tutellati da i piu  nenti signatarii di u tratpd u 28 lugliu 1919   chi a  vene a mette sottu a li occhi di cursisti un documenta   pruvara ad ognunu  cu a  sola cumparazione di lu accanimentu cu u quale u guvernu face cumbatte a nostra azione redentrice e di a larghezza di spirtu di quellu di un gran paese quantunque notu pe i so scopi di un imperialismu pe u menu uguale a quellu di mariannona   dipoi a fin di u 7oo  la inghilterra ha impostu a so dominazione a u canada  paese trenta volte piu distesu ca quellu di i so cunquistatori e chi fu strappatu da a forza a 1 so primi padroni  i francesi  i quali lu avianu colonizzatu da dui seculi e piu   cridariate forse chi i maestri di u terzu di a mappa abinu subitamente impostu a i novi suggetti di a si  mi  britanica  cu ogni modi e custumi di e rive di a tamigia  a pocu armuniosa favella sazzona         v ingannate lascenduvi annanna da st arietta imparata da professoriignocari o storti   u  populu chi  cu superbia  ha ricamatu u lione  simbulu di a forza bruttale  sopra a i so stendardi  ha capitu  mossu chi ella era da  una fierezza nativa chi un si lascia strappa a minima ignicula di u so patrimoniu spirituale  chi u solu mezzu  di tra e a se e varie razze strascinate da un ingurdizia senza paru ne a so orbite di sale orgugliosu era di lascia ne ogni rughione di u so immensu imperu le essenziale di u particularismu di ciasche naziunalita   a lingua francese  parlata da i coloni di u so novu du  miniu di u nordu america  fu da1 inghilterra  sinno prutetta  almenu rispettata  ogni scola  cu un programma di umanu pari passu  insegno a listessu titulu afavella di e pupulazione e quella di u duminatore  e publicazione di lingua francese si starnpanu a millaie senza chi nisun traccia  di emozione marchi i tratti di fredezze voluntaria di quelli chi hanu a carica di assicura oltre oceanu a sovranita anglo sazzona   eccu dunque  per le edificazione di i demagoghi di e sponde di a senna e di i vittuli isulani  a chiama chi ellu lampo  dui mesi or sonu  ne la semaine religieuse di fall river  u sgio p r  quinet  avete lettu  fratelli corsi  e fattu a cumparazione    quinci dumandemu chi omu un lasci micca more u dialettu  quellu di i capurali di u cumunu e di i cispreri di borgu e di pontenovu  e ci azzuppanu i jacari     culandi si alzanu e voce per raminta a i vincitori chi i canadesi hanu dicisu di resta francesi e chi a lingua transmette da una generazione all altra e note caratterische di una nazione senza chi e manette minaccinu i polsi di li omi di duvere chi hanu scrittu ste righe di fierezza e di virita   le inglese ha capitu chi lu imperu di li interessi e quellu di le amore so cose ci un si ponu accupia e si e accuntintatu di u primu      u francese esige chi a spiana e a raspia ripublicana apparineghinu ogni cosa  si ogna a canta cun ellu a marsigliese  ancu chi lu accentu un ci sia   si ogna a cantalla sana sana e da la sera a la matina   quellu chi si arreghie o chi si face una paghiella e for di legge  scumunicatu  e  da le arcature duv elli so stati innalzati da la ignuranza  a malafede e u disonore  i troncchiuli  di core  i bastardi e i mantinuti giranu un pollice tundulidlu versu la arena duv elli volenu vede agonizza e spegnesi a piu pura e a piu necessaria di e fede   ss	   Pasquale Manfredi  	   art  	   1  	bpt6k1330989k
599	   lettara muntagnola  maistrale in vivariu  caru cumpare   evviva a lingua corsa   kvvivaiso anfarti  bvivwva i so pueti   i  pudemu cumincia a rallegracci perche a bena duttrina di a muvra porta digia i so frutti      dopu u teatru corsu  u featru di a lira di vivariu vene di mette in onore a parlata di e nostre mamme cu a cumuna di parapiglia di u nostru primu gran pueta maistrale      fu un luni di pasqua splendidu e pienu di tutt e gioie pussibile per i cursisti cume boi   cume me e tanti chi eranu cula   a pupulazione vivariaccia cuaso lira ne sia ringraziata    9  simu stati ricevuti da fratelli e cu tutte e sulennita chi un si ponu fa in alcun aliru paese di corsica   a u sbarca di u trenu a musica ci ha acclamati cu  vivario  vivario   paese di le amore   poi  cu maistrale in mezzu  ci ha accumpagnati fin a u centru di u paese  sempre sunendu arie corse  2  tuifa cittatinella era fora o in affaccu  tutti salutavanu e gridavanu    bvviva maistrale   ed ellu  tranquillu cume sempre e cu a so risa seri za fierta  rendia saluti e toccamanate a la corsa a omi  a donne  a zitelli     evviva maistrale       bravi vivariacci  bi ringraziu per elly   tuttue statu organizzata da u simpaticu direttore di a lira  u sgio vineensini  musicista  artista e capi banda incumparabile   a cumuna di parapiglia 2 statu u pranzu addilletevule preparatu e servitu cun tanfarte e tanta perfezione chi tuite le ide e chi io vurria esprime un possu dalle anch eiu che in un gridu solu cumea pupulazione di vivariu     evviva maisirale   evviva a lira    infatti  mi ci vurria  tutfamuvra per chiama  nome per nome  li attori di a pezza caso manera a ciascunu di tirassi cusi be di affare   speremu di rivede prestu tutta sta brava e fiera giuventu corsa cu u so direttore in li nostri paesi   tengu a fabbi sape  caru cumpare  chi u teatru corsu di a muvra  a u cumplettu  obbediente a una bona disciplina cursista  assistia a sta bella raprisentazione   bi stringu a manu   ss	   U Sampetracciu  	   let  	   3  	bpt6k1330989k
600	   a morte di romanetti  u 25 aprile  a un ora e mezzu di mattina  e statu tombu nunziu romanetti  in lava versi a punta di pefani  o  eccu qualchi detagliu di st assaltu  a un ora dope mezzanoite  u banditu  saltendu a pelu annant a u so cavallu rossu  pigliava una direzsione versi una grotta cunisciuta solu dai so piu cari amici      a un ora e mezzu  da a casetta di lava  si intese una pilutunata     a cinqu ore  eccu u cavallu chi ritorna solu a u stazzu   a sett ore e mezzu  un altra pilutunata   galopu di a giandarmaria   romanetti era mortu     u colpu fu tiratu da daretu  a palle spizzate chi li tazzonu u core   u banditu un avia cunisciutu morte   ci era dui cani apressu   un braccu chi e statu tombu vicin a u padrone   e una cagna  zinette  chi e sparita   u banditu avia una brisacca piena di pane e salcicci  e cartucci e una carabina cu u ceppu spizzatu da e palle  to ne  avia in piu sopra ad ellu e chi un si e piu trovu   u stile  ne cannuchiale  un rivolvaru f ne e u portafogliu cu 7ooo franchi     a nuvella di a morte di romanetti si e sparsa in corsica cume purtata da u ventu   a man a manu  in ajacciu  eccu tutti li ottomobili in aria  a via di lava   trenta vitture e duie centu parsone par quelle macchie   u mortu fu falatu in ajacciu a u spidale  dumenica sera    luni a 2 ore  ci fu lu intarramentu  da u spidale a calcatoghiu   tutt ajacciu era prisente   a pur pulazione era cuncorsa da tutti paesi   a cascia purtata a bracce sin a la bartiera   rose e fiori intornu   quaranta ottomobili chi lu hanu fattu accumpagnu sin a calcatoghiu   par se strade  tutt e donne piegnendu  le ustarie in dolu   in calcatoghiu  tuttu u paese era a la croce   a moglia  a sociara  tutte e donne  stridenidu   una vecchia chi si ranficava tutta a faccia   i cucini  e guide  li amici cari   uso figliulellu  culligianti di dodici anni  ancu u sole si era ammantatu di dolu  a macchia paria chi ella piegnissi  ci era sei giandarmi  forse par tumballu una terza volta   manc un prete ne campane   a fossa in di un chiosu intundata di virdura  a quattr ore tutt era finitu   romanetti era natu in 1882  avia pigliatu a macchia in 1913 par ave tombu un certu carbuccia par affare di un boie     dopu avia tombu a petru carli cun giandarme     era statu tre volte cundannatu a morte     a vita e a morte di romanetti so fatte di roba corsa  a chi un e corsu un puo capisce   ss	   Maistrale  	   art  	   5  	bpt6k1330989k
601	   i nostri detti e pruverbj  i pruverbj so u piu anticu monumentu di una lingua e u  codice piu becchiu  piu generale e piu durabile di un populu  se qualchi pruverbj nun $o tutt affattu veri o sonu passati di tempu  guasi tutti pero so tante verita cunfirmate da piu seculi di esperienza  ed e pero che so chia  mati santi e ghiusti  riunilli e vulgarizzalli e dunque un instiui i populi  femmune altrettantu pe a corsica   se qualchi volia i pruverbj hanu una forma triviale e perche so antichi o perche so benuti da persone igauranti ma sinnute  imbece di noce  la rudezza stessa li rende piu facili a capissi e a tenesi a memoria  ancu da e persone menu struite   se di i pruverbj che avemu in corsica ci ne so in altri paesi  pochi sonu i populi che ne abbianu piu di noi  e questu prova u bonu sensu di i nostri antichi   ss	   Duttore A. Mattei  	   art  	   6  	bpt6k1330989k
